036.2.06030.01.0;Sanitaires clients indépendants - Ecot;AS;Aire de service;ECOT;Ecot;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Belfort Montbeliard;RDC;10.0;;;;;;;;;;;47.44285209;6.7321520999999995
006.1.43770.01.0;Hangar à sel - Les Chères;PA;Point d'appui;CHER;Les Chères;C;Bâtiments d'exploitation;Hangar à sel;STOCK;Villefranche;RDC;0.0;;;;;;;;;;;45.88591951;4.73617688
006.1.43770.03.0;Usine à saumure - Les Chères;PA;Point d'appui;CHER;Les Chères;C;Bâtiments d'exploitation;Usine à saumure;BATGEN;Villefranche;RDC;54.0;;;;;;;;;;;45.885847629999994;4.73650143
040.2.18860.13.0;Sanitaires clients indépendants - St.Genis-sur-Menthon;GA;Gare;SGSM;St.Genis-sur-Menthon;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Ain;RDC;4.5;;;;;;;;;;;46.27185655999999;5.01608618
048.3.06703.02.0;LTV ou LTS - Rives;GA;Gare;RIVS;Rives;D;Bâtiments des gares de péage;LTV ou LTS;BATGEN;Trois Massifs;RDC;17.0;;;;;;;;;;;45.38434745999999;5.473214389999999
040.3.17700.04.0;Locaux techniques - Bourg-Nord;GA;Gare;BONO;Bourg-Nord;D;Bâtiments des gares de péage;Locaux techniques dédiés au péage;LTECH;Ain;RDC;36.0;;;;;;;;;;;46.260131474000005;5.1669249310000005
077.2.01229.00.0;Sanitaires clients indépendants - Le Sophora;AR;Aire de repos;SOPH;Le Sophora;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Gâtinais;RDC;76.0;;;;;;;;;;;48.13003730299999;2.71723879
006.3.26440.10.0;Hangar à sel - Auxois;CE;Centre ou District;PAUX;Auxois;C;Bâtiments d'exploitation;Hangar à sel;STOCK;Morvan;RDC;0.0;;;;;;;;;;;47.251494737;4.56200729
040.2.16340.06.0;Sanitaires clients indépendants - Bourg Teyssonge;AS;Aire de service;BOTE;Bourg Teyssonge;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Ain;RDC;10.0;;;;;;;;;;;46.20253597999998;5.294260080000001
006.2.21300.01.0;Sanitaires clients indépendants - Maison Dieu;AS;Aire de service;MDIE;Maison Dieu;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Morvan;RDC;10.0;;;;;;;;;;;47.50489392;4.03436214
006.1.43770.02.0;Garage PL - Les Chères;PA;Point d'appui;CHER;Les Chères;C;Bâtiments d'exploitation;Garage PL;BATGEN;Villefranche;RDC;375.0;;;;;;;;;;;45.88627705;4.73615274
071.3.37488.00.1;Bât.bureaux Centre d'Entretien - Riom;CE;Centre ou District;RIOM;Riom;A;Bâtiments administratifs, bureaux et sociaux;Bât.bureaux Centre d'Entretien;BATGEN;Auvergne;RDC;130.0;RDC+1;130.0;;;;;;;;;45.89459037999999;3.14822867
040.3.17700.02.0;Locaux techniques - Bourg-Nord;GA;Gare;BONO;Bourg-Nord;F;Locaux techniques du réseau;Locaux techniques indépendants ;LTECH;Ain;RDC;17.0;;;;;;;;;;;46.26013584999999;5.166844907000001
040.1.18860.03.0;Locaux techniques - St.Genis-sur-Menthon;GA;Gare;SGSM;St.Genis-sur-Menthon;F;Locaux techniques du réseau;Locaux techniques indépendants ;LTECH;Ain;RDC;45.0;;;;;;;;;;;46.272322013999975;5.016088942999999
714.2.00110.00.0;Sanitaires clients indépendants - Les Amarons;AR;Aire de repos;AMAR;Les Amarons;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Centre de la France;RDC;25.0;;;;;;;;;;;46.394550237999994;2.7078760209999997
039.3.09370.06.0;Bureaux de District - Courlaoux;CE;Centre ou District;CRLX;Courlaoux;A;Bâtiments administratifs, bureaux et sociaux;Bureaux de District;BATGEN;Jura;RDC;400.0;;;;;;;;;;;46.66649074;5.422201134000001
031.1.20120.03.0;Auvent services sur aires - Val Au Renard;AR;Aire de repos;VLAR;Val Au Renard;J;Auvent;Auvent services sur aires;AUVENT;Lorraine;;;;;;;;;;;;;48.42454096999998;5.860975979999999
031.2.08790.00.0;Sanitaires clients indépendants - Fontenelle;AR;Aire de repos;FTNL;Fontenelle;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Champagne;RDC;45.0;;;;;;;;;;;47.690275356999976;5.182678991
006.3.12780.03.0;Maxicabine - Joigny;GA;Gare;JGNY;Joigny;D;Bâtiments des gares de péage;Maxicabine;BATGEN;Gâtinais;RDC;27.0;;;;;;;;;;;47.93919566800001;3.242513616
006.2.28874.03.0;Garage PL - Aubaine;PA;Point d'appui;AUBA;Aubaine;C;Bâtiments d'exploitation;Garage PL;BATGEN;Centre Bourgogne;RDC;303.0;;;;;;;;;;;47.10115615;4.7424002530000005
